OrderID,CustomerName,Age,Product,Category,Region,Sales
1001,Arun,25,Laptop,Electronics,Chennai,55000
1002,Priya,24,Mouse,Accessories,Chennai,1200
1003,Rahul,28,Keyboard,Accessories,Bangalore,2500
1004,Divya,23,Monitor,Electronics,Bangalore,45000
1005,Karthik,26,Laptop,Electronics,Chennai,60000
1003,Rahul,28,Keyboard,Accessories,Bangalore,2500
1006,Sneha,27,Mouse,Accessories,Chennai,1500
1007,Vijay,29,Keyboard,Accessories,Bangalore,3000
1002,Priya,24,Mouse,Accessories,Chennai,1200
1008,Anitha,24,Monitor,Electronics,Chennai,35000
